Year	Sector	Chapter	Departement	Type	Value
2015	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	General expenses	50500
2015	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Other expenses	52686
2015	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Wages & salaries	325357
2015	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	General expenses	51000
2015	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	Wages & salaries	424741
2015	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	General expenses	48000
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Wages & salaries	1438466
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Other employee costs	30439
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Arrears on Salaries and Allowances	226236
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	General expenses	1263900
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Consulting and professional fees	0
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Other expenses	412700
2016	Administration Sector 	Office of the Presidency	Office of the Presidency	Arrears	233800
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	Wages & salaries	1615356
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	Arrears on Salaries and Allowances	191488
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	General expenses	868003
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	Other expenses	378499
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	Arrears	576405
2016	Administration Sector 	Office of the Parliament	Office of the Parliament	To International Organizations	50000
2016	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Wages & salaries	4594600
2016	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Arrears on Salaries and Allowances	1903600
2016	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Specialized materials and services	125000
2016	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Other expenses	295400
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Wages & salaries	1075040
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Other employee costs	36410
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Arrears on Salaries and Allowances	359724
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	General expenses	1954500
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Other expenses	813450
2016	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Arrears	210000
2016	Administration Sector 	Prime Minister Office	Environmental Directorate	Wages & salaries	221811
2016	Administration Sector 	Prime Minister Office	Environmental Directorate	Arrears on Salaries and Allowances	47534
2016	Administration Sector 	Prime Minister Office	Environmental Directorate	General expenses	29000
2016	Administration Sector 	Prime Minister Office	Capacity Injection Project	General expenses	254041
2016	Administration Sector 	Prime Minister Office	Capacity Injection Project	Education and training expenses	66691
2016	Administration Sector 	Prime Minister Office	Capacity Injection Project	Consulting and professional fees	524898
2016	Administration Sector 	Prime Minister Office	Capacity Injection Project	Finance costs	12725
2016	Administration Sector 	Prime Minister Office	Capacity Injection Project	Fixed assets acquisition	280240
2016	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Wages & salaries	749312
2016	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Arrears on Salaries and Allowances	138660
2016	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	General expenses	470496
2016	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Consulting and professional fees	0
2016	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Arrears	2998
2016	Administration Sector 	Ministry of Foreign Affairs	Embassies	Wages & salaries	2606876
2016	Administration Sector 	Ministry of Foreign Affairs	Embassies	Arrears on Salaries and Allowances	559338
2016	Administration Sector 	Ministry of Foreign Affairs	Embassies	General expenses	1189542
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Wages & salaries	3311568
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Other employee costs	79885
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Arrears on Salaries and Allowances	617959
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	General expenses	678063
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Other expenses	119730
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Arrears	607879
2016	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Fixed assets acquisition	2213747
2016	Administration Sector 	Finance and Other Department 	Accountant General	Wages & salaries	548781
2016	Administration Sector 	Finance and Other Department 	Accountant General	Arrears on Salaries and Allowances	85424
2016	Administration Sector 	Finance and Other Department 	Accountant General	General expenses	288000
2016	Administration Sector 	Finance and Other Department 	Accountant General	Arrears	41624
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Arrears on Salaries and Allowances	6590890
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Finance costs	2760083
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Arrears	2557693
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Fixed assets acquisition	1034469
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	To sub-national government	0
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	To sub-national government	9338649
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Contingency - Operating & Capital Expenses	2059409
2016	Administration Sector 	Finance and Other Department 	Other Activities of the State	Revolving loans	4090614
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Wages & salaries	0
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	General expenses	42343
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Education and training expenses	720
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Consulting and professional fees	561900
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Finance costs	20989
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Other expenses	0
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Arrears	46259
2016	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Fixed assets acquisition	17940
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	General expenses	224062
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Education and training expenses	1800384
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Consulting and professional fees	1410174
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Finance costs	7346
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Other expenses	0
2016	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Fixed assets acquisition	909891
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Wages & salaries	21600
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	General expenses	93282
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Education and training expenses	377355
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Consulting and professional fees	1103842
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Finance costs	10309
2016	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Fixed assets acquisition	161142
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Wages & salaries	82674
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	General expenses	195669
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Education and training expenses	117495
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Consulting and professional fees	650514
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Finance costs	194290
2016	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Fixed assets acquisition	158825
2016	Administration Sector 	Finance and Other Department 	SCORE	Wages & salaries	0
2016	Administration Sector 	Finance and Other Department 	SCORE	General expenses	22768
2016	Administration Sector 	Finance and Other Department 	SCORE	Consulting and professional fees	231571
2016	Administration Sector 	Finance and Other Department 	SCORE	Finance costs	12000
2016	Administration Sector 	Finance and Other Department 	SCORE	Other expenses	0
2016	Administration Sector 	Finance and Other Department 	SCORE	Fixed assets acquisition	0
2016	Administration Sector 	Finance and Other Department 	SCORE	To sub-national government	0
2016	Administration Sector 	Ministry of Planning	Ministry of Planning	Wages & salaries	577485
2016	Administration Sector 	Ministry of Planning	Ministry of Planning	Other employee costs	48941
2016	Administration Sector 	Ministry of Planning	Ministry of Planning	Arrears on Salaries and Allowances	85560
2016	Administration Sector 	Ministry of Planning	Ministry of Planning	General expenses	212000
2016	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Wages & salaries	929769
2016	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Arrears on Salaries and Allowances	187080
2016	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	General expenses	279326
2016	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Specialized materials and services	0
2016	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Other expenses	7350000
2016	Administration Sector 	Ministry of Interior	Somali Refugee and IDPs Commission	Wages & salaries	157268
2016	Administration Sector 	Ministry of Interior	Somali Refugee and IDPs Commission	General expenses	45000
2016	Administration Sector 	Ministry of Interior	Somali Disaster Management Agency	Wages & salaries	113338
2016	Administration Sector 	Ministry of Interior	Somali Disaster Management Agency	General expenses	36000
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Wages & salaries	132350
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	General expenses	17969
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Education and training expenses	28952
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Consulting and professional fees	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Finance costs	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Other expenses	15000
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Fixed assets acquisition	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	To sub-national government	28000
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Wages & salaries	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	General expenses	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Education and training expenses	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Consulting and professional fees	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Finance costs	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Specialized materials and services	0
2016	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Other expenses	0
2016	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Wages & salaries	390890
2016	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Arrears on Salaries and Allowances	42490
2016	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	General expenses	90000
2016	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Other expenses	0
2016	Administration Sector 	Ministry of Justice	Ministry of Justice	Wages & salaries	245492
2016	Administration Sector 	Ministry of Justice	Ministry of Justice	Arrears on Salaries and Allowances	37918
2016	Administration Sector 	Ministry of Justice	Ministry of Justice	General expenses	81000
2016	Administration Sector 	Ministry of Justice	Custodian Corps	Wages & salaries	1137500
2016	Administration Sector 	Ministry of Justice	Custodian Corps	Arrears on Salaries and Allowances	325000
2016	Administration Sector 	Ministry of Justice	Custodian Corps	General expenses	230000
2016	Administration Sector 	Ministry of Justice	Custodian Corps	Specialized materials and services	300000
2016	Administration Sector 	Ministry of Justice	Custodian Corps	Other expenses	1844673
2016	Administration Sector 	Ministry of Justice	Custodian Corps	Arrears	13000
2016	Administration Sector 	Ministry of Justice	Banadir Court	Wages & salaries	758983
2016	Administration Sector 	Ministry of Justice	Banadir Court	Arrears on Salaries and Allowances	158642
2016	Administration Sector 	Ministry of Justice	Banadir Court	General expenses	89000
2016	Administration Sector 	Ministry of Justice	Appeal Court	Wages & salaries	97511
2016	Administration Sector 	Ministry of Justice	Appeal Court	Arrears on Salaries and Allowances	18594
2016	Administration Sector 	Ministry of Justice	Appeal Court	General expenses	59000
2016	Administration Sector 	Ministry of Justice	Judiciary Service Committee	Wages & salaries	116113
2016	Administration Sector 	Ministry of Justice	Judiciary Service Committee	Arrears on Salaries and Allowances	15142
2016	Administration Sector 	Ministry of Justice	Judiciary Service Committee	General expenses	56000
2016	Administration Sector 	Ministry of Justice	Consititutional Court	Wages & salaries	0
2016	Administration Sector 	Ministry of Justice	Consititutional Court	General expenses	0
2016	Administration Sector 	Supreme Court  	Supreme Court  	Wages & salaries	260986
2016	Administration Sector 	Supreme Court  	Supreme Court  	Arrears on Salaries and Allowances	38464
2016	Administration Sector 	Supreme Court  	Supreme Court  	General expenses	189000
2016	Administration Sector 	Supreme Court  	Supreme Court  	Other expenses	60000
2016	Administration Sector 	Attorney General	Attorney General	Wages & salaries	467873
2016	Administration Sector 	Attorney General	Attorney General	Arrears on Salaries and Allowances	91458
2016	Administration Sector 	Attorney General	Attorney General	General expenses	243000
2016	Administration Sector 	Solicitor General	Solicitor General	Wages & salaries	184031
2016	Administration Sector 	Solicitor General	Solicitor General	Arrears on Salaries and Allowances	38824
2016	Administration Sector 	Solicitor General	Solicitor General	General expenses	204000
2016	Administration Sector 	Auditor General	Auditor General	Wages & salaries	404382
2016	Administration Sector 	Auditor General	Auditor General	Arrears on Salaries and Allowances	81474
2016	Administration Sector 	Auditor General	Auditor General	General expenses	114000
2016	Administration Sector 	Auditor General	Auditor General	Specialized materials and services	600000
2016	Administration Sector 	Ministry of Constitution	Ministry of Constitution	Wages & salaries	167048
2016	Administration Sector 	Ministry of Constitution	Ministry of Constitution	Arrears on Salaries and Allowances	25652
2016	Administration Sector 	Ministry of Constitution	Ministry of Constitution	General expenses	36000
2016	Administration Sector 	Special Commissions	Boundaries and Federation Commision	Wages & salaries	162000
2016	Administration Sector 	Special Commissions	Boundaries and Federation Commision	General expenses	64000
2016	Administration Sector 	Special Commissions	National Reconciliation Commission 	Wages & salaries	234848
2016	Administration Sector 	Special Commissions	National Reconciliation Commission 	Arrears on Salaries and Allowances	10018
2016	Administration Sector 	Special Commissions	National Reconciliation Commission 	General expenses	30000
2016	Administration Sector 	Special Commissions	National Independent Electoral Commission	Wages & salaries	416595
2016	Administration Sector 	Special Commissions	National Independent Electoral Commission	Arrears on Salaries and Allowances	140000
2016	Administration Sector 	Special Commissions	National Independent Electoral Commission	General expenses	9000
2016	Administration Sector 	Special Commissions	Human Rights Commision	Wages & salaries	0
2016	Administration Sector 	Special Commissions	Human Rights Commision	General expenses	0
2016	Administration Sector 	Special Commissions	Independent Constitution Review and Implementation Commission	Wages & salaries	275093
2016	Administration Sector 	Special Commissions	Independent Constitution Review and Implementation Commission	Arrears on Salaries and Allowances	10512
2016	Administration Sector 	Special Commissions	Independent Constitution Review and Implementation Commission	General expenses	42000
2016	Administration Sector 	Special Commissions	National Civil Service Commission	Wages & salaries	418219
2016	Administration Sector 	Special Commissions	National Civil Service Commission	Other employee costs	49400
2016	Administration Sector 	Special Commissions	National Civil Service Commission	Arrears on Salaries and Allowances	25416
2016	Administration Sector 	Special Commissions	National Civil Service Commission	General expenses	66000
2016	Administration Sector 	Special Commissions	National Civil Service Commission	Consulting and professional fees	0
2016	Administration Sector 	Special Commissions	National Civil Service Commission	Arrears	12720
2016	Security Sector	Ministry of Defence	Ministry of Defence	Wages & salaries	441843
2016	Security Sector	Ministry of Defence	Ministry of Defence	Arrears on Salaries and Allowances	44622
2016	Security Sector	Ministry of Defence	Ministry of Defence	General expenses	220500
2016	Security Sector	Ministry of Defence	Ministry of Defence	Specialized materials and services	75000
2016	Security Sector	Ministry of Defence	Ministry of Defence	Other expenses	0
2016	Security Sector	Ministry of Defence	Ministry of Defence	Arrears	5000
2016	Security Sector	Ministry of Defence	Armed Forces	Wages & salaries	8143100
2016	Security Sector	Ministry of Defence	Armed Forces	Arrears on Salaries and Allowances	7590500
2016	Security Sector	Ministry of Defence	Armed Forces	General expenses	1044000
2016	Security Sector	Ministry of Defence	Armed Forces	Specialized materials and services	1932000
2016	Security Sector	Ministry of Defence	Armed Forces	Other expenses	12437645
2016	Security Sector	Ministry of Defence	Armed Forces	Arrears	1950031
2016	Security Sector	Ministry of Defence	Military Court	Wages & salaries	936000
2016	Security Sector	Ministry of Defence	Military Court	General expenses	240000
2016	Security Sector	Ministry of Defence	Military Court	Other expenses	300000
2016	Security Sector	Ministry of Defence	Orphans	Wages & salaries	20000
2016	Security Sector	Ministry of Defence	Orphans	General expenses	10000
2016	Security Sector	Ministry of National Security	Ministry of National Security	Wages & salaries	483325
2016	Security Sector	Ministry of National Security	Ministry of National Security	Arrears on Salaries and Allowances	87890
2016	Security Sector	Ministry of National Security	Ministry of National Security	General expenses	120000
2016	Security Sector	Ministry of National Security	Ministry of National Security	Specialized materials and services	0
2016	Security Sector	Ministry of National Security	Ministry of National Security	Other expenses	1400000
2016	Security Sector	Ministry of National Security	Ministry of National Security	Arrears	125000
2016	Security Sector	Ministry of National Security	Police Force	Wages & salaries	4137000
2016	Security Sector	Ministry of National Security	Police Force	Arrears on Salaries and Allowances	700000
2016	Security Sector	Ministry of National Security	Police Force	General expenses	550000
2016	Security Sector	Ministry of National Security	Police Force	Specialized materials and services	869000
2016	Security Sector	Ministry of National Security	Police Force	Other expenses	5133510
2016	Security Sector	Ministry of National Security	National Security Force	Wages & salaries	4116000
2016	Security Sector	Ministry of National Security	National Security Force	Arrears on Salaries and Allowances	457333
2016	Security Sector	Ministry of National Security	National Security Force	General expenses	125320
2016	Security Sector	Ministry of National Security	National Security Force	Specialized materials and services	1000000
2016	Security Sector	Ministry of National Security	National Security Force	Other expenses	2681000
2016	Security Sector	Ministry of National Security	National Security Force	Arrears	639939
2016	Security Sector	Ministry of National Security	Immigration Department	Wages & salaries	910000
2016	Security Sector	Ministry of National Security	Immigration Department	General expenses	521000
2016	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Wages & salaries	401668
2016	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Other employee costs	46221
2016	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Arrears on Salaries and Allowances	71722
2016	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	General expenses	40000
2016	Economic Sector	Ministry of Mineral	Ministry of Mineral	Wages & salaries	362705
2016	Economic Sector	Ministry of Mineral	Ministry of Mineral	Arrears on Salaries and Allowances	72064
2016	Economic Sector	Ministry of Mineral	Ministry of Mineral	General expenses	33000
2016	Economic Sector	Ministry of Mineral	Ministry of Mineral	Specialized materials and services	857100
2016	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Wages & salaries	465176
2016	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Other employee costs	37038
2016	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Arrears on Salaries and Allowances	82560
2016	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	General expenses	59900
2016	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Other expenses	0
2016	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	Wages & salaries	426288
2016	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	Arrears on Salaries and Allowances	71442
2016	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	General expenses	52980
2016	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	Specialized materials and services	0
2016	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	Wages & salaries	520875
2016	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	Arrears on Salaries and Allowances	102310
2016	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	General expenses	50000
2016	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	Arrears	26967
2016	Economic Sector	Ministry of Fisheries	Somali Marine Research	Wages & salaries	214958
2016	Economic Sector	Ministry of Fisheries	Somali Marine Research	Arrears on Salaries and Allowances	32608
2016	Economic Sector	Ministry of Fisheries	Somali Marine Research	General expenses	57000
2016	Economic Sector	Ministry of Fisheries	Offshore Fisheries Development Project	Wages & salaries	36910
2016	Economic Sector	Ministry of Fisheries	Offshore Fisheries Development Project	General expenses	60000
2016	Economic Sector	Ministry of Information 	Ministry of Information 	Wages & salaries	1316903
2016	Economic Sector	Ministry of Information 	Ministry of Information 	Arrears on Salaries and Allowances	249126
2016	Economic Sector	Ministry of Information 	Ministry of Information 	General expenses	1072980
2016	Economic Sector	Ministry of Information 	Ministry of Information 	Other expenses	120000
2016	Economic Sector	Ministry of Information 	Ministry of Information 	Arrears	55000
2016	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Wages & salaries	696387
2016	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Arrears on Salaries and Allowances	150988
2016	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	General expenses	83000
2016	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Other expenses	18000
2016	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Arrears	20000
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	Wages & salaries	9880
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	General expenses	140873
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	Education and training expenses	36531
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	Consulting and professional fees	280947
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	Finance costs	5683
2016	Economic Sector	Post and Telecomuniction 	ICT Sector Support	Fixed assets acquisition	1162785
2016	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Wages & salaries	390859
2016	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Other employee costs	52237
2016	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Arrears on Salaries and Allowances	68434
2016	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	General expenses	47000
2016	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Other expenses	73114
2016	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	Wages & salaries	570964
2016	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	Arrears on Salaries and Allowances	108996
2016	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	General expenses	56550
2016	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	Other expenses	0
2016	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	Wages & salaries	380824
2016	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	Arrears on Salaries and Allowances	88016
2016	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	General expenses	13150
2016	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	Other expenses	0
2016	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	Wages & salaries	647886
2016	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	Arrears on Salaries and Allowances	137144
2016	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	General expenses	65000
2016	Economic Sector	Ministry of Transport and Ports	Hamar Port 	Wages & salaries	746100
2016	Economic Sector	Ministry of Transport and Ports	Hamar Port 	General expenses	114000
2016	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	Wages & salaries	803675
2016	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	Arrears on Salaries and Allowances	109480
2016	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	General expenses	17000
2016	Social Sector	Ministry of Health 	Ministry of Health 	Wages & salaries	586898
2016	Social Sector	Ministry of Health 	Ministry of Health 	Arrears on Salaries and Allowances	80862
2016	Social Sector	Ministry of Health 	Ministry of Health 	General expenses	15000
2016	Social Sector	Ministry of Health 	Ministry of Health 	Other expenses	0
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Wages & salaries	579982
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Other employee costs	60000
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Arrears on Salaries and Allowances	113200
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	General expenses	68000
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Other expenses	0
2016	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Arrears	30000
2016	Social Sector	Ministry of Education and Higher Education	Somali National University	Wages & salaries	856174
2016	Social Sector	Ministry of Education and Higher Education	Somali National University	Arrears on Salaries and Allowances	34532
2016	Social Sector	Ministry of Education and Higher Education	Somali National University	General expenses	47000
2016	Social Sector	Ministry of Education and Higher Education	Somali National University	Education and training expenses	0
2016	Social Sector	Ministry of Education and Higher Education	Somali National University	Specialized materials and services	0
2016	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	Wages & salaries	107353
2016	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	Arrears on Salaries and Allowances	24032
2016	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	General expenses	15000
2016	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	Wages & salaries	77000
2016	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	General expenses	9000
2016	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	Education and training expenses	0
2016	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Wages & salaries	570367
2016	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Other employee costs	46587
2016	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Arrears on Salaries and Allowances	103914
2016	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	General expenses	26000
2016	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Other expenses	171240
2016	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Wages & salaries	317892
2016	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Arrears on Salaries and Allowances	68974
2016	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	General expenses	70000
2016	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Arrears	27000
2016	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	Wages & salaries	470782
2016	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	Arrears on Salaries and Allowances	90544
2016	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	General expenses	26000
2017	Administration Sector 	Office of the Presidency	Office of the Presidency	Wages & salaries	2402125
2017	Administration Sector 	Office of the Presidency	Office of the Presidency	Other employee costs	63529
2017	Administration Sector 	Office of the Presidency	Office of the Presidency	General expenses	1484875
2017	Administration Sector 	Office of the Presidency	Office of the Presidency	Other expenses	419599
2017	Administration Sector 	Office of the Parliament	Office of the Parliament	Wages & salaries	2849202
